Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time
1:15:14 PM,New Task,midazolam,, ---,---,---,---,1:15:14 PM
1:15:14 PM,Select Drug,ondansetron,-,-,-,-,-,1:15:36 PM
1:15:36 PM,Move Syringe,no,0.00,0,0,0,0,1:15:48 PM
1:15:48 PM,Fill Syringe,ondansetron,37.40,1,0,0,0,1:15:53 PM
1:16:20 PM,New Task,propofol,, ---,---,---,---,1:16:19 PM
1:15:53 PM,AdministerSyringe,ondansetron,37.40,1,0,1,0,1:16:29 PM
1:16:29 PM,Trash Syringe,ondansetron,37.40,1,0,1,1,1:16:35 PM
1:16:35 PM,Trash Syringe,no,0.00,0,0,0,1,1:16:42 PM
1:16:42 PM,Select Drug,ondansetron,-,-,-,-,-,1:16:49 PM
1:16:49 PM,Move Syringe,no,0.00,0,0,0,0,1:16:51 PM
1:16:51 PM,Trash Syringe,no,0.00,0,0,0,1,1:16:53 PM
1:16:53 PM,Remove Drug,ondansetron,-,-,-,-,-,1:17:01 PM
1:17:28 PM,New Task,fentaNYL,, ---,---,---,---,1:17:24 PM
1:18:41 PM,New Task,ROCuronium,, ---,---,---,---,1:18:29 PM
1:19:46 PM,New Task,lidocaine 2%,, ---,---,---,---,1:19:34 PM
1:19:46 PM,Select Drug,PHENYLephrine syring,-,-,-,-,-,1:20:50 PM
1:20:50 PM,Move Syringe,no,0.00,0,0,0,0,1:21:15 PM
1:21:15 PM,Fill Syringe,PHENYLephrine syring,37.40,1,0,0,0,1:21:16 PM
1:21:16 PM,Apply Lable,PHENYLephrine syring,37.40,1,1,0,0,1:21:22 PM
1:21:22 PM,Trash Syringe,PHENYLephrine syring,37.40,1,1,0,1,1:21:27 PM

