Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
15:31:14:8388,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 6 mL of Vecuronium
15:31:14:8388,Select Drug,Vecuronium,-,-,-,-,-,15:31:19:8902,
15:31:19:8902,Move Syringe,no,0.00,0,0,0,0,15:31:21:7888,
15:31:21:7888,Fill Syringe,Vecuronium,6,1,0,0,0,15:31:27:3715,
15:31:27:3715,Apply Lable,Vecuronium,6,1,1,0,0,15:31:36:5196,
15:31:36:5196,AdministerSyringe,Vecuronium,6,1,1,1,0,15:31:41:5555,
15:31:41:5555,Trash Syringe,Vecuronium,6,1,1,1,1,15:31:45:9763,
15:31:45:9763,Select Drug,Vecuronium,-,-,-,-,-,15:31:57:1015,
15:31:58:3549,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 8 mL of Midazolam
15:31:57:1015,Remove Drug,Vecuronium,-,-,-,-,-,15:32:03:0936,
15:32:03:0936,Select Drug,Midazolam,-,-,-,-,-,15:32:09:7676,
15:32:09:7676,Move Syringe,no,0.00,0,0,0,0,15:32:28:5277,
15:32:28:5277,Fill Syringe,Midazolam,8,1,0,0,0,15:32:29:3072,
15:32:29:3072,Apply Lable,Midazolam,8,1,1,0,0,15:32:31:2775,
15:32:31:2775,AdministerSyringe,Midazolam,8,1,1,1,0,15:32:37:1091,
15:32:37:1091,Trash Syringe,Midazolam,8,1,1,1,1,15:32:41:6836,
15:32:43:2648,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
15:32:43:2648,Select Drug,Atropine,-,-,-,-,-,15:32:56:6927,
15:32:56:6927,Move Syringe,no,0.00,0,0,0,0,15:32:59:4025,
15:32:59:4025,Fill Syringe,Atropine,12,1,0,0,0,15:33:03:1146,
15:33:03:1146,Apply Lable,Atropine,12,1,1,0,0,15:33:06:3277,
15:33:06:3277,AdministerSyringe,Atropine,12,1,1,1,0,15:33:13:9666,
15:33:13:9666,Trash Syringe,Atropine,12,1,1,1,1,15:33:18:6309,
15:33:20:8839,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
15:33:20:8839,Select Drug,Lidocaine,-,-,-,-,-,15:33:25:0105,
15:33:25:0105,Move Syringe,no,0.00,0,0,0,0,15:33:30:6220,
15:33:30:6220,Fill Syringe,Lidocaine,4,1,0,0,0,15:33:42:6471,
15:33:42:6471,Apply Lable,Lidocaine,4,1,1,0,0,15:33:44:2867,
15:33:44:2867,AdministerSyringe,Lidocaine,4,1,1,1,0,15:33:52:4050,
15:33:52:4050,Trash Syringe,Lidocaine,4,1,1,1,1,15:33:57:6491,
15:34:00:2987,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 7 mL of Lidocaine
15:34:00:2987,Select Drug,Lidocaine,-,-,-,-,-,15:34:23:6469,
15:34:23:6469,Move Syringe,no,0.00,0,0,0,0,15:34:35:6343,
15:34:35:6343,Fill Syringe,Lidocaine,7,1,0,0,0,15:34:36:5623,
15:34:36:5623,Apply Lable,Lidocaine,7,1,1,0,0,15:34:39:3267,
15:34:39:3267,AdministerSyringe,Lidocaine,7,1,1,1,0,15:34:53:0290,
15:34:53:0290,Trash Syringe,Lidocaine,7,1,1,1,1,15:34:58:6775,
15:35:01:9247,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 5 mL of Midazolam
15:35:01:9247,Select Drug,Midazolam,-,-,-,-,-,15:35:06:0357,
15:35:06:0357,Move Syringe,no,0.00,0,0,0,0,15:35:09:7396,
15:35:09:7396,Fill Syringe,Midazolam,5,1,0,0,0,15:35:14:3618,
15:35:14:3618,Apply Lable,Midazolam,5,1,1,0,0,15:35:16:1506,
15:35:16:1506,AdministerSyringe,Midazolam,5,1,1,1,0,15:35:19:2318,
15:35:19:2323,Trash Syringe,Midazolam,5,1,1,1,1,15:35:26:9740,
15:35:32:2129,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 22 mL of Propofol
15:35:32:2129,Select Drug,Propofol,-,-,-,-,-,15:35:38:5413,
15:35:38:5413,Move Syringe,no,0.00,0,0,0,0,15:35:40:8030,
15:35:40:8030,Fill Syringe,Propofol,22,1,0,0,0,15:35:45:0615,
15:35:45:0615,Apply Lable,Propofol,22,1,1,0,0,15:35:48:8832,
15:35:48:8832,AdministerSyringe,Propofol,22,1,1,1,0,15:35:57:8839,
15:35:57:8839,Trash Syringe,Propofol,22,1,1,1,1,15:36:01:9683,
15:36:03:8402,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 12 mL of Rocuronium
15:36:03:8402,Select Drug,Rocuronium,-,-,-,-,-,15:36:29:4519,
15:36:29:4519,Move Syringe,no,0.00,0,0,0,0,15:36:33:5022,
15:36:33:5022,Fill Syringe,Rocuronium,11,1,0,0,0,15:36:37:8428,
15:36:37:8428,Apply Lable,Rocuronium,11,1,1,0,0,15:36:49:0989,
15:36:49:0989,AdministerSyringe,Rocuronium,11,1,1,1,0,15:36:53:3728,
15:36:53:3728,Trash Syringe,Rocuronium,11,1,1,1,1,15:37:04:7594,
15:37:07:2767,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 28 mL of Propofol
15:37:07:2767,Select Drug,Propofol,-,-,-,-,-,15:37:14:8895,
15:37:14:8895,Move Syringe,no,0.00,0,0,0,0,15:37:18:9583,
15:37:18:9583,Fill Syringe,Propofol,28,1,0,0,0,15:37:38:6833,
15:37:38:6833,Apply Lable,Propofol,28,1,1,0,0,15:37:41:8137,
15:37:41:8137,AdministerSyringe,Propofol,28,1,1,1,0,15:37:46:0880,
