Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
08:27:52:8746,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 6 mL of Vecuronium
08:27:52:8746,Select Drug,Vecuronium,-,-,-,-,-,08:27:59:2988,
08:27:59:2988,Move Syringe,no,0.00,0,0,0,0,08:28:07:8292,
08:28:07:8292,Fill Syringe,Vecuronium,0,1,0,0,0,08:28:09:4026,
08:28:09:4026,Apply Lable,Vecuronium,0,1,1,0,0,08:28:21:1475,
08:28:21:1475,AdministerSyringe,Vecuronium,0,1,1,1,0,08:28:32:7115,
08:28:32:7115,Trash Syringe,Vecuronium,0,1,1,1,1,08:28:38:8058,
08:28:40:2960,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 8 mL of Midazolam
08:28:40:2960,Select Drug,Midazolam,-,-,-,-,-,08:28:54:3392,
08:28:54:3392,Move Syringe,no,0.00,0,0,0,0,08:28:57:7835,
08:28:57:7835,Fill Syringe,Midazolam,9,1,0,0,0,08:29:01:9256,
08:29:01:9256,Apply Lable,Midazolam,9,1,1,0,0,08:29:04:1616,
08:29:04:1616,AdministerSyringe,Midazolam,9,1,1,1,0,08:29:07:2107,
08:29:07:2107,Trash Syringe,Midazolam,9,1,1,1,1,08:29:10:3095,
08:29:23:5590,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
08:29:23:5590,Select Drug,Atropine,-,-,-,-,-,08:29:26:8699,
08:29:26:8699,Move Syringe,no,0.00,0,0,0,0,08:29:29:2141,
08:29:29:2141,Fill Syringe,Atropine,12,1,0,0,0,08:29:32:8762,
08:29:32:8762,Apply Lable,Atropine,12,1,1,0,0,08:29:34:6976,
08:29:34:6976,AdministerSyringe,Atropine,12,1,1,1,0,08:29:37:0664,
08:29:37:0664,Trash Syringe,Atropine,12,1,1,1,1,08:29:42:4248,
08:29:43:4351,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
08:29:43:4351,Select Drug,Lidocaine,-,-,-,-,-,08:29:52:0982,
08:29:52:0982,Move Syringe,no,0.00,0,0,0,0,08:29:54:5413,
08:29:54:5418,Fill Syringe,Lidocaine,4,1,0,0,0,08:29:59:5785,
08:29:59:5785,Apply Lable,Lidocaine,4,1,1,0,0,08:30:01:1682,
08:30:01:1682,AdministerSyringe,Lidocaine,4,1,1,1,0,08:30:03:8359,
08:30:03:8359,Trash Syringe,Lidocaine,4,1,1,1,1,08:30:07:2009,
08:30:07:2009,Select Drug,Lidocaine,-,-,-,-,-,08:30:19:2918,
08:30:19:2918,Move Syringe,no,0.00,0,0,0,0,08:30:21:2054,
08:30:21:2054,Fill Syringe,Lidocaine,4,1,0,0,0,08:30:23:4256,
08:30:23:4256,Apply Lable,Lidocaine,4,1,1,0,0,08:30:25:1973,
08:30:25:1973,AdministerSyringe,Lidocaine,4,1,1,1,0,08:30:28:0807,
08:30:28:0807,Trash Syringe,Lidocaine,4,1,1,1,1,08:30:33:4997,
08:30:34:4274,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 7 mL of Lidocaine
08:30:34:4274,Select Drug,Lidocaine,-,-,-,-,-,08:30:36:8128,
08:30:36:8128,Move Syringe,no,0.00,0,0,0,0,08:30:40:5320,
08:30:40:5320,Fill Syringe,Lidocaine,7,1,0,0,0,08:30:43:4819,
08:30:43:4819,Apply Lable,Lidocaine,7,1,1,0,0,08:30:45:2877,
08:31:32:9601,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 5 mL of Midazolam
08:30:45:2877,Trash Syringe,Lidocaine,7,1,1,0,1,08:31:46:5891,
08:31:48:4280,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 22 mL of Propofol
08:31:48:4280,Select Drug,Propofol,-,-,-,-,-,08:31:53:3296,
08:31:53:3296,Move Syringe,no,0.00,0,0,0,0,08:31:58:4622,
08:31:58:4622,Fill Syringe,Propofol,22,1,0,0,0,08:32:10:2164,
08:32:10:2164,Apply Lable,Propofol,22,1,1,0,0,08:32:11:9390,
08:32:11:9390,AdministerSyringe,Propofol,22,1,1,1,0,08:32:16:4613,
08:32:16:4613,Trash Syringe,Propofol,22,1,1,1,1,08:32:19:8694,
08:32:30:4099,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 12 mL of Rocuronium
08:32:30:4099,Select Drug,Rocuronium,-,-,-,-,-,08:32:35:2112,
08:32:35:2112,Move Syringe,no,0.00,0,0,0,0,08:32:37:6562,
08:32:37:6562,Fill Syringe,Rocuronium,12,1,0,0,0,08:32:41:4167,
08:32:41:4167,Apply Lable,Rocuronium,12,1,1,0,0,08:32:44:3221,
08:32:44:3221,AdministerSyringe,Rocuronium,12,1,1,1,0,08:32:46:5415,
08:32:46:5415,Trash Syringe,Rocuronium,12,1,1,1,1,08:32:54:0846,
08:32:54:7970,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 28 mL of Propofol
08:32:54:7970,Select Drug,Propofol,-,-,-,-,-,08:32:59:5182,
08:32:59:5182,Move Syringe,no,0.00,0,0,0,0,08:33:01:3826,
08:33:01:3826,Fill Syringe,Propofol,28,1,0,0,0,08:33:05:2434,
08:33:05:2434,Apply Lable,Propofol,28,1,1,0,0,08:33:06:6842,
08:33:06:6842,AdministerSyringe,Propofol,28,1,1,1,0,08:33:08:9208,
08:33:08:9208,Trash Syringe,Propofol,28,1,1,1,1,08:33:12:3193,
08:33:28:7571,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
08:33:28:7571,Select Drug,Atropine,-,-,-,-,-,08:33:32:6310,
08:33:32:6310,Move Syringe,no,0.00,0,0,0,0,08:33:35:6721,
08:33:35:6721,Fill Syringe,Atropine,13,1,0,0,0,08:33:39:5657,
08:33:39:5657,Apply Lable,Atropine,13,1,1,0,0,08:33:40:9405,
08:33:40:9405,AdministerSyringe,Atropine,13,1,1,1,0,08:33:43:0942,
08:33:43:0942,Trash Syringe,Atropine,13,1,1,1,1,08:33:45:9265,
08:33:57:0282,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 8 mL of Succinylcholine
08:33:57:0282,Select Drug,Succinylcholine,-,-,-,-,-,08:34:04:4651,
08:34:04:4651,Move Syringe,no,0.00,0,0,0,0,08:34:07:1969,
08:34:07:1969,Fill Syringe,Succinylcholine,8,1,0,0,0,08:34:12:0849,
08:34:12:0849,Apply Lable,Succinylcholine,8,1,1,0,0,08:34:13:3768,
08:34:13:3768,AdministerSyringe,Succinylcholine,8,1,1,1,0,08:34:15:5300,
08:34:15:5300,Trash Syringe,Succinylcholine,8,1,1,1,1,08:34:19:0522,
08:34:27:9192,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
08:34:27:9192,Select Drug,Lidocaine,-,-,-,-,-,08:34:31:7845,
08:34:31:7845,Move Syringe,no,0.00,0,0,0,0,08:34:33:4664,
08:34:33:4664,Fill Syringe,Lidocaine,4,1,0,0,0,08:34:40:2100,
08:34:40:2100,Apply Lable,Lidocaine,4,1,1,0,0,08:34:41:6563,
08:34:41:6563,AdministerSyringe,Lidocaine,4,1,1,1,0,08:34:43:8101,
08:34:43:8101,Trash Syringe,Lidocaine,4,1,1,1,1,08:34:47:4032,
08:34:51:8010,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 4 mL of Fentanyl
08:34:51:8010,Select Drug,Fentanyl,-,-,-,-,-,08:34:55:2099,
08:34:55:2099,Move Syringe,no,0.00,0,0,0,0,08:34:57:1592,
08:34:57:1592,Fill Syringe,Fentanyl,4,1,0,0,0,08:34:58:8827,
08:34:58:8827,Apply Lable,Fentanyl,4,1,1,0,0,08:35:00:3235,
08:35:00:3235,AdministerSyringe,Fentanyl,4,1,1,1,0,08:35:02:4612,
08:35:02:4612,Trash Syringe,Fentanyl,4,1,1,1,1,08:35:05:4562,
08:35:11:7876,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 3 mL of Vecuronium
08:35:11:7876,Select Drug,Vecuronium,-,-,-,-,-,08:35:17:5998,
08:35:17:5998,Move Syringe,no,0.00,0,0,0,0,08:35:19:0342,
08:35:19:0342,Fill Syringe,Vecuronium,3,1,0,0,0,08:35:22:3320,
08:35:22:3320,Apply Lable,Vecuronium,3,1,1,0,0,08:35:23:6896,
08:35:23:6896,AdministerSyringe,Vecuronium,3,1,1,1,0,08:35:26:1411,
08:35:26:1411,Trash Syringe,Vecuronium,3,1,1,1,1,08:35:29:0886,
08:35:29:7674,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 2 mL of Fentanyl
08:35:29:7674,Select Drug,Fentanyl,-,-,-,-,-,08:35:38:6446,
08:35:38:6446,Move Syringe,no,0.00,0,0,0,0,08:35:40:4755,
08:35:40:4755,Fill Syringe,Fentanyl,2,1,0,0,0,08:35:45:3806,
08:35:45:3806,Apply Lable,Fentanyl,2,1,1,0,0,08:35:46:6891,
08:35:46:6891,AdministerSyringe,Fentanyl,2,1,1,1,0,08:35:48:9580,
08:35:48:9580,Trash Syringe,Fentanyl,2,1,1,1,1,08:35:51:7886,
08:35:52:5016,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 7 mL of Succinylcholine
08:35:52:5016,Select Drug,Succinylcholine,-,-,-,-,-,08:35:56:1933,
08:35:56:1933,Move Syringe,no,0.00,0,0,0,0,08:35:59:4605,
