Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time
1:06:45 PM,New Task,midazolam,, ---,---,---,---,1:06:44 PM
1:06:45 PM,Select Drug,midazolam,-,-,-,-,-,1:07:24 PM
1:07:24 PM,Remove Drug,midazolam,-,-,-,-,-,1:07:33 PM
1:07:33 PM,Select Drug,midazolam,-,-,-,-,-,1:07:41 PM
1:07:41 PM,Move Syringe,no,0.00,0,0,0,0,1:07:47 PM
1:07:47 PM,Fill Syringe,midazolam,53.04,1,0,0,0,1:07:50 PM
1:07:53 PM,New Task,propofol,, ---,---,---,---,1:07:49 PM
1:07:50 PM,Apply Lable,midazolam,53.04,1,1,0,0,1:08:35 PM
1:08:35 PM,AdministerSyringe,midazolam,53.04,1,1,1,0,1:08:47 PM
1:08:47 PM,Trash Syringe,midazolam,53.04,1,1,1,1,1:08:49 PM
1:08:49 PM,Trash Syringe,no,0.00,0,0,0,1,1:08:58 PM
1:08:59 PM,New Task,fentaNYL,, ---,---,---,---,1:08:54 PM
1:08:59 PM,Select Drug,midazolam,-,-,-,-,-,1:09:00 PM
1:09:00 PM,Move Syringe,no,0.00,0,0,0,0,1:09:02 PM
1:09:02 PM,Trash Syringe,no,0.00,0,0,0,1,1:09:06 PM
1:09:06 PM,Move Syringe,no,0.00,0,0,0,0,1:09:11 PM
1:09:11 PM,Fill Syringe,midazolam,39.92,1,0,0,0,1:09:14 PM
1:09:14 PM,Apply Lable,midazolam,39.92,1,1,0,0,1:09:16 PM
1:09:16 PM,Trash Syringe,midazolam,39.92,1,1,0,1,1:09:19 PM
1:09:19 PM,Select Drug,fentaNYL,-,-,-,-,-,1:09:29 PM
1:09:29 PM,Move Syringe,no,0.00,0,0,0,0,1:09:31 PM
1:09:31 PM,Fill Syringe,fentaNYL,39.92,1,0,0,0,1:09:31 PM
1:09:31 PM,Apply Lable,fentaNYL,39.92,1,1,0,0,1:09:34 PM
1:09:34 PM,AdministerSyringe,fentaNYL,39.92,1,1,1,0,1:09:36 PM
1:09:36 PM,Trash Syringe,fentaNYL,39.92,1,1,1,1,1:09:41 PM

