Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
14:33:47:1462,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 6 mL of Vecuronium
14:33:47:1467,Select Drug,Vecuronium,-,-,-,-,-,14:33:57:8865,
14:33:57:8865,Move Syringe,no,0.00,0,0,0,0,14:34:02:5513,
14:34:02:5513,Fill Syringe,Vecuronium,6,1,0,0,0,14:34:09:2273,
14:34:09:2273,Apply Lable,Vecuronium,6,1,1,0,0,14:34:19:8636,
14:34:19:8636,AdministerSyringe,Vecuronium,6,1,1,1,0,14:34:22:7795,
14:34:22:7795,Trash Syringe,Vecuronium,6,1,1,1,1,14:34:25:8893,
14:34:27:0319,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 8 mL of Midazolam
14:34:27:0319,Select Drug,Midazolam,-,-,-,-,-,14:34:32:9103,
14:34:32:9103,Move Syringe,no,0.00,0,0,0,0,14:34:50:1377,
14:34:50:1377,Fill Syringe,Midazolam,8,1,0,0,0,14:34:51:0165,
14:34:51:0165,Apply Lable,Midazolam,8,1,1,0,0,14:34:53:4340,
14:34:53:4340,Trash Syringe,Midazolam,8,1,1,0,1,14:34:57:9571,
14:35:00:0447,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
14:35:00:0447,Select Drug,Atropine,-,-,-,-,-,14:35:23:8253,
14:35:23:8253,Move Syringe,no,0.00,0,0,0,0,14:35:27:0138,
14:35:27:0138,Fill Syringe,Atropine,12,1,0,0,0,14:35:28:0085,
14:35:28:0085,Apply Lable,Atropine,12,1,1,0,0,14:35:29:9130,
14:35:29:9130,AdministerSyringe,Atropine,12,1,1,1,0,14:35:32:6965,
14:35:32:6965,Trash Syringe,Atropine,12,1,1,1,1,14:35:35:4722,
14:35:41:6825,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
14:35:41:6825,Select Drug,Lidocaine,-,-,-,-,-,14:35:47:6444,
14:35:47:6444,Move Syringe,no,0.00,0,0,0,0,14:35:50:8396,
14:35:50:8396,Fill Syringe,Lidocaine,4,1,0,0,0,14:35:54:9985,
14:35:54:9985,Apply Lable,Lidocaine,4,1,1,0,0,14:35:57:0224,
14:35:57:0224,AdministerSyringe,Lidocaine,4,1,1,1,0,14:36:09:3530,
14:36:09:3530,Trash Syringe,Lidocaine,4,1,1,1,1,14:36:12:9507,
14:36:13:8783,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 7 mL of Lidocaine
14:36:13:8788,Select Drug,Lidocaine,-,-,-,-,-,14:36:19:8900,
14:36:19:8900,Move Syringe,no,0.00,0,0,0,0,14:36:22:7486,
14:36:22:7486,Fill Syringe,Lidocaine,7,1,0,0,0,14:36:23:5603,
14:36:23:5603,Apply Lable,Lidocaine,7,1,1,0,0,14:36:25:7632,
14:36:25:7632,AdministerSyringe,Lidocaine,7,1,1,1,0,14:36:28:2648,
14:36:28:2648,Trash Syringe,Lidocaine,7,1,1,1,1,14:36:31:6368,
14:36:34:0763,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 5 mL of Midazolam
14:36:34:0763,Select Drug,Midazolam,-,-,-,-,-,14:36:48:6908,
14:36:48:6908,Move Syringe,no,0.00,0,0,0,0,14:36:51:3992,
14:36:51:3992,Fill Syringe,Midazolam,5,1,0,0,0,14:36:55:1943,
14:36:55:1943,Apply Lable,Midazolam,5,1,1,0,0,14:36:56:8166,
14:36:56:8166,AdministerSyringe,Midazolam,5,1,1,1,0,14:36:59:9149,
14:36:59:9149,Trash Syringe,Midazolam,5,1,1,1,1,14:37:02:8061,
14:37:15:2072,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 22 mL of Propofol
14:37:15:2072,Select Drug,Propofol,-,-,-,-,-,14:37:29:1213,
14:37:29:1213,Move Syringe,no,0.00,0,0,0,0,14:37:33:1560,
14:37:33:1560,Fill Syringe,Propofol,22,1,0,0,0,14:37:33:9843,
14:37:33:9843,Apply Lable,Propofol,22,1,1,0,0,14:37:42:9379,
14:37:42:9379,AdministerSyringe,Propofol,22,1,1,1,0,14:37:45:5720,
14:37:45:5720,Trash Syringe,Propofol,22,1,1,1,1,14:37:48:3560,
14:37:50:5088,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 12 mL of Rocuronium
14:37:50:5088,Select Drug,Propofol,-,-,-,-,-,14:37:57:2832,
14:37:57:2832,Remove Drug,Propofol,-,-,-,-,-,14:38:00:7038,
14:38:00:7038,Select Drug,Rocuronium,-,-,-,-,-,14:38:06:7115,
14:38:06:7115,Move Syringe,no,0.00,0,0,0,0,14:38:23:1941,
14:38:23:1941,Fill Syringe,Rocuronium,12,1,0,0,0,14:38:23:8078,
14:38:23:8078,Apply Lable,Rocuronium,12,1,1,0,0,14:38:26:4242,
14:38:26:4242,AdministerSyringe,Rocuronium,12,1,1,1,0,14:38:28:7269,
14:38:28:7269,Trash Syringe,Rocuronium,12,1,1,1,1,14:38:31:2065,
14:38:32:2333,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 28 mL of Propofol
14:38:32:2333,Select Drug,Rocuronium,-,-,-,-,-,14:38:38:8461,
14:38:38:8461,Remove Drug,Rocuronium,-,-,-,-,-,14:38:40:5145,
14:38:40:5145,Select Drug,Propofol,-,-,-,-,-,14:39:20:7199,
14:39:20:7199,Move Syringe,no,0.00,0,0,0,0,14:39:24:4440,
14:39:24:4440,Fill Syringe,Propofol,28,1,0,0,0,14:39:26:0186,
14:39:26:0186,Apply Lable,Propofol,28,1,1,0,0,14:39:27:5086,
14:39:27:5086,AdministerSyringe,Propofol,28,1,1,1,0,14:39:29:7451,
14:39:29:7451,Trash Syringe,Propofol,28,1,1,1,1,14:39:33:9398,
14:39:40:6051,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
14:39:40:6051,Select Drug,Atropine,-,-,-,-,-,14:39:51:7456,
14:39:51:7456,Move Syringe,no,0.00,0,0,0,0,14:39:53:8577,
14:39:53:8577,Fill Syringe,Atropine,28,1,0,0,0,14:40:03:3430,
14:40:03:3430,Apply Lable,Atropine,28,1,1,0,0,14:40:04:9658,
14:40:04:9658,AdministerSyringe,Atropine,28,1,1,1,0,14:40:07:2193,
14:40:07:2193,Trash Syringe,Atropine,28,1,1,1,1,14:40:09:7383,
14:40:11:3787,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 8 mL of Succinylcholine
14:40:11:3787,Select Drug,Succinylcholine,-,-,-,-,-,14:40:17:3560,
14:40:17:3560,Move Syringe,no,0.00,0,0,0,0,14:40:20:9756,
14:40:20:9756,Fill Syringe,Succinylcholine,8,1,0,0,0,14:40:28:5473,
14:40:28:5473,Apply Lable,Succinylcholine,8,1,1,0,0,14:40:30:7722,
14:40:30:7722,AdministerSyringe,Succinylcholine,8,1,1,1,0,14:40:58:9853,
14:40:58:9853,Trash Syringe,Succinylcholine,8,1,1,1,1,14:41:03:0827,
14:41:04:9221,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
14:41:04:9221,Select Drug,Lidocaine,-,-,-,-,-,14:41:16:1620,
14:41:16:1620,Move Syringe,no,0.00,0,0,0,0,14:41:19:3540,
14:41:19:3540,Fill Syringe,Lidocaine,4,1,0,0,0,14:41:22:6182,
14:41:22:6182,Apply Lable,Lidocaine,4,1,1,0,0,14:41:24:4421,
14:41:24:4421,AdministerSyringe,Lidocaine,4,1,1,1,0,14:41:47:3857,
14:41:47:3857,Trash Syringe,Lidocaine,4,1,1,1,1,14:41:50:5552,
14:41:53:1556,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 4 mL of Fentanyl
14:41:53:1556,Select Drug,Fentanyl,-,-,-,-,-,14:41:57:1177,
14:41:57:1177,Move Syringe,no,0.00,0,0,0,0,14:41:59:1506,
14:41:59:1506,Fill Syringe,Fentanyl,4,1,0,0,0,14:42:01:2878,
14:42:01:2878,Apply Lable,Fentanyl,4,1,1,0,0,14:42:03:7474,
14:42:03:7474,AdministerSyringe,Fentanyl,4,1,1,1,0,14:42:14:5172,
14:42:14:5172,Trash Syringe,Fentanyl,4,1,1,1,1,14:42:17:0565,
14:42:17:5864,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 3 mL of Vecuronium
14:42:17:5864,Select Drug,Vecuronium,-,-,-,-,-,14:42:28:1555,
14:42:28:1555,Move Syringe,no,0.00,0,0,0,0,14:42:44:1272,
14:42:44:1272,Fill Syringe,Vecuronium,3,1,0,0,0,14:42:45:2212,
14:42:45:2212,Apply Lable,Vecuronium,3,1,1,0,0,14:42:47:5559,
14:42:47:5559,AdministerSyringe,Vecuronium,3,1,1,1,0,14:42:50:4552,
14:42:59:7364,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 2 mL of Fentanyl
14:42:50:4552,Trash Syringe,Vecuronium,3,1,1,1,1,14:43:05:3362,
14:43:05:3362,Select Drug,Fentanyl,-,-,-,-,-,14:43:07:2212,
14:43:07:2212,Move Syringe,no,0.00,0,0,0,0,14:43:09:2521,
14:43:09:2521,Fill Syringe,Fentanyl,2,1,0,0,0,14:43:22:6529,
14:43:22:6529,Apply Lable,Fentanyl,2,1,1,0,0,14:43:24:6412,
14:43:24:6412,AdministerSyringe,Fentanyl,2,1,1,1,0,14:43:27:5565,
14:43:27:5565,Trash Syringe,Fentanyl,2,1,1,1,1,14:43:30:3064,
14:43:37:5276,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 7 mL of Succinylcholine
14:43:37:5276,Select Drug,Succinylcholine,-,-,-,-,-,14:43:47:8161,
14:43:47:8161,Move Syringe,no,0.00,0,0,0,0,14:44:07:7608,
14:44:07:7608,Fill Syringe,Succinylcholine,7,1,0,0,0,14:44:08:3749,
14:44:08:3749,Apply Lable,Succinylcholine,7,1,1,0,0,14:44:10:1960,
14:44:10:1960,AdministerSyringe,Succinylcholine,7,1,1,1,0,14:44:12:4496,
14:44:12:4496,Trash Syringe,Succinylcholine,7,1,1,1,1,14:44:15:1057,
14:44:16:3505,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 3 mL of Fentanyl
14:44:16:3505,Select Drug,Fentanyl,-,-,-,-,-,14:44:34:1098,
14:44:34:1098,Move Syringe,no,0.00,0,0,0,0,14:44:36:9694,
14:44:36:9694,Fill Syringe,Fentanyl,3,1,0,0,0,14:44:38:1297,
14:44:38:1297,Apply Lable,Fentanyl,3,1,1,0,0,14:44:39:5701,
14:44:39:5701,AdministerSyringe,Fentanyl,3,1,1,1,0,14:44:47:2112,
14:44:47:2112,Trash Syringe,Fentanyl,3,1,1,1,1,14:44:49:5585,
14:44:50:7181,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 1 mL of Fentanyl
14:44:50:7181,Select Drug,Fentanyl,-,-,-,-,-,14:44:56:1030,
14:44:56:1030,Move Syringe,no,0.00,0,0,0,0,14:44:58:0502,
14:44:58:0502,Fill Syringe,Fentanyl,1,1,0,0,0,14:44:58:7308,
14:44:58:7308,Apply Lable,Fentanyl,1,1,1,0,0,14:45:00:1210,
14:45:00:1210,AdministerSyringe,Fentanyl,1,1,1,1,0,14:45:02:0761,
14:45:02:0761,Trash Syringe,Fentanyl,1,1,1,1,1,14:45:05:6396,
14:45:13:1994,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 3 mL of Rocuronium
14:45:13:1994,Select Drug,Rocuronium,-,-,-,-,-,14:45:26:0021,
14:45:26:0021,Move Syringe,no,0.00,0,0,0,0,14:45:27:8987,
14:45:27:8987,Fill Syringe,Rocuronium,3,1,0,0,0,14:45:28:9104,
14:45:28:9104,Apply Lable,Rocuronium,3,1,1,0,0,14:45:31:3349,
14:45:31:3349,AdministerSyringe,Rocuronium,3,1,1,1,0,14:45:40:6891,
14:45:40:6896,Trash Syringe,Rocuronium,3,1,1,1,1,14:45:43:8537,
14:45:46:1063,New Task,Fentanyl,, ---,---,---,---,---,Prepare and administer 4 mL of Fentanyl
14:45:46:1063,Select Drug,Fentanyl,-,-,-,-,-,14:46:05:9666,
14:46:05:9666,Move Syringe,no,0.00,0,0,0,0,14:46:08:3664,
14:46:08:3664,Fill Syringe,Fentanyl,4,1,0,0,0,14:46:09:0798,
14:46:09:0798,Apply Lable,Fentanyl,4,1,1,0,0,14:46:10:9641,
14:46:10:9641,AdministerSyringe,Fentanyl,4,1,1,1,0,14:46:18:3176,
14:46:18:3176,Trash Syringe,Fentanyl,4,1,1,1,1,14:46:22:3052,
14:46:24:3923,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 5 mL of Vecuronium
14:46:24:3923,Select Drug,Vecuronium,-,-,-,-,-,14:46:31:9621,
14:46:31:9621,Move Syringe,no,0.00,0,0,0,0,14:46:41:8121,
14:46:41:8121,Fill Syringe,Vecuronium,5,1,0,0,0,14:46:42:8063,
14:46:42:8063,Apply Lable,Vecuronium,5,1,1,0,0,14:46:44:3133,
14:46:44:3133,AdministerSyringe,Vecuronium,5,1,1,1,0,14:46:46:9972,
14:46:46:9972,Trash Syringe,Vecuronium,5,1,1,1,1,14:46:50:1030,

