Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
10:27:34:0738,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 6 mL of Vecuronium
10:27:34:0743,Select Drug,Vecuronium,-,-,-,-,-,10:27:41:0460,
10:27:41:0460,Move Syringe,no,0.00,0,0,0,0,10:27:44:0281,
10:27:44:0281,Fill Syringe,Vecuronium,6,1,0,0,0,10:27:48:9650,
10:27:48:9650,Apply Lable,Vecuronium,6,1,1,0,0,10:27:50:4715,
10:27:50:4715,AdministerSyringe,Vecuronium,6,1,1,1,0,10:27:53:2545,
10:27:53:2545,Trash Syringe,Vecuronium,6,1,1,1,1,10:27:58:3917,
10:28:13:8124,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 8 mL of Midazolam
10:28:13:8124,Select Drug,Midazolam,-,-,-,-,-,10:28:17:5255,
10:28:17:5255,Move Syringe,no,0.00,0,0,0,0,10:28:22:0894,
10:28:22:0894,Fill Syringe,Midazolam,8,1,0,0,0,10:28:25:0889,
10:28:25:0889,Apply Lable,Midazolam,8,1,1,0,0,10:28:26:6781,
10:28:26:6781,AdministerSyringe,Midazolam,8,1,1,1,0,10:28:30:4559,
10:28:30:4559,Trash Syringe,Midazolam,8,1,1,1,1,10:28:35:1179,
10:28:41:8676,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
10:28:41:8676,Select Drug,Atropine,-,-,-,-,-,10:28:46:4715,
10:28:46:4715,Move Syringe,no,0.00,0,0,0,0,10:28:49:0348,
10:28:49:0348,Fill Syringe,Atropine,12,1,0,0,0,10:28:54:6021,
10:28:54:6021,Apply Lable,Atropine,12,1,1,0,0,10:28:58:4845,
10:28:58:4845,AdministerSyringe,Atropine,12,1,1,1,0,10:29:07:7765,
10:29:07:7765,Trash Syringe,Atropine,12,1,1,1,1,10:29:13:9607,
10:29:15:1703,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
10:29:15:1703,Select Drug,Lidocaine,-,-,-,-,-,10:29:20:1063,
10:29:20:1063,Move Syringe,no,0.00,0,0,0,0,10:29:31:4001,
10:29:31:4001,Fill Syringe,Lidocaine,4,1,0,0,0,10:29:34:8473,
10:29:34:8473,Apply Lable,Lidocaine,4,1,1,0,0,10:29:36:4531,
10:29:36:4531,AdministerSyringe,Lidocaine,4,1,1,1,0,10:29:39:4352,
10:29:39:4352,Trash Syringe,Lidocaine,4,1,1,1,1,10:29:54:8475,
10:29:58:9724,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 7 mL of Lidocaine
10:29:58:9724,Select Drug,Lidocaine,-,-,-,-,-,10:30:03:4259,
10:30:03:4259,Move Syringe,no,0.00,0,0,0,0,10:30:06:4826,
10:30:06:4826,Fill Syringe,Lidocaine,7,1,0,0,0,10:30:11:9992,
10:30:11:9992,Apply Lable,Lidocaine,7,1,1,0,0,10:30:14:6958,
