Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
17:02:45:9932,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 3 mL of Vecuronium
17:02:45:9937,Select Drug,Vecuronium,-,-,-,-,-,17:02:53:8070,
17:02:53:8070,Move Syringe,no,0.00,0,0,0,0,17:02:55:6751,
17:02:55:6751,Fill Syringe,Vecuronium,3,1,0,0,0,17:02:59:7500,
17:02:59:7500,Apply Lable,Vecuronium,3,1,1,0,0,17:03:01:0080,
17:03:01:0080,AdministerSyringe,Vecuronium,3,1,1,1,0,17:03:02:7807,
17:03:02:7807,Trash Syringe,Vecuronium,3,1,1,1,1,17:03:05:9183,
17:03:08:6018,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 29 mL of Propofol
17:03:08:6018,Select Drug,Propofol,-,-,-,-,-,17:03:12:5577,
17:03:12:5577,Move Syringe,no,0.00,0,0,0,0,17:03:14:1576,
17:03:14:1576,Fill Syringe,Propofol,29,1,0,0,0,17:03:17:9523,
17:03:17:9523,Apply Lable,Propofol,29,1,1,0,0,17:03:19:1436,
17:03:19:1436,AdministerSyringe,Propofol,29,1,1,1,0,17:03:20:9169,
17:03:20:9169,Trash Syringe,Propofol,29,1,1,1,1,17:03:24:6300,
17:03:26:0386,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 5 mL of Succinylcholine
17:03:28:6391,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 10 mL of Atropine
17:03:29:3351,New Task,Propofol,, ---,---,---,---,---,Prepare and administer 27 mL of Propofol
17:03:29:9157,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 8 mL of Succinylcholine
17:03:30:4452,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 5 mL of Rocuronium
17:03:30:9920,New Task,Succinylcholine,, ---,---,---,---,---,Prepare and administer 4 mL of Succinylcholine
17:03:31:5716,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 10 mL of Rocuronium
17:03:32:1849,New Task,Rocuronium,, ---,---,---,---,---,Prepare and administer 9 mL of Rocuronium
17:03:32:7648,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 5 mL of Midazolam

