Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time
3:28:51 PM,New Task,midazolam,, ---,---,---,---,3:29:51 PM
3:28:51 PM,Select Drug,midazolam,-,-,-,-,-,3:29:00 PM
3:29:00 PM,Move Syringe,no,0.00,0,0,0,0,3:29:02 PM
3:29:02 PM,Fill Syringe,midazolam,29.24,1,0,0,0,3:29:04 PM
3:29:04 PM,AdministerSyringe,midazolam,29.24,1,0,1,0,3:29:07 PM
3:29:07 PM,Trash Syringe,midazolam,29.24,1,0,1,1,3:29:09 PM
3:29:09 PM,Select Drug,propofol,-,-,-,-,-,3:29:18 PM
3:29:18 PM,Move Syringe,no,0.00,0,0,0,0,3:29:21 PM
3:29:21 PM,Fill Syringe,propofol,51.70,1,0,0,0,3:29:23 PM
3:29:23 PM,Apply Lable,propofol,51.70,1,1,0,0,3:29:25 PM
3:29:25 PM,Trash Syringe,propofol,51.70,1,1,0,1,3:29:28 PM
3:29:28 PM,Trash Syringe,no,0.00,0,0,0,1,3:29:35 PM
3:29:35 PM,Select Drug,glycopyrrolate injection,-,-,-,-,-,3:29:39 PM
3:29:39 PM,Move Syringe,no,0.00,0,0,0,0,3:29:46 PM
3:29:46 PM,Fill Syringe,glycopyrrolate injection,31.85,1,0,0,0,3:29:48 PM
3:29:48 PM,Apply Lable,glycopyrrolate injection,31.85,1,1,0,0,3:29:50 PM
3:29:53 PM,New Task,propofol,, ---,---,---,---,3:31:38 PM
3:29:50 PM,AdministerSyringe,glycopyrrolate injection,31.85,1,1,1,0,3:29:55 PM
3:29:55 PM,Trash Syringe,glycopyrrolate injection,31.85,1,1,1,1,3:29:59 PM
3:29:59 PM,Select Drug,PHENYLephrine syring,-,-,-,-,-,3:30:03 PM
3:30:03 PM,Move Syringe,no,0.00,0,0,0,0,3:30:04 PM
3:30:04 PM,Trash Syringe,no,0.00,0,0,0,1,3:30:06 PM
3:30:06 PM,Move Syringe,no,0.00,0,0,0,0,3:30:08 PM
3:30:08 PM,Fill Syringe,PHENYLephrine syring,31.85,1,0,0,0,3:30:09 PM
3:30:09 PM,Trash Syringe,PHENYLephrine syring,31.85,1,0,0,1,3:30:10 PM
3:30:10 PM,Select Drug,PHENYLephrine syring,-,-,-,-,-,3:30:12 PM
3:30:10 PM,Remove Drug,PHENYLephrine syring,-,-,-,-,-,3:30:14 PM
3:30:40 PM,New Task,fentaNYL,, ---,---,---,---,3:33:10 PM
3:31:25 PM,New Task,ROCuronium,, ---,---,---,---,3:34:40 PM
3:32:10 PM,New Task,lidocaine 2%,, ---,---,---,---,3:36:10 PM
3:32:55 PM,New Task,succinylcholine syringe,, ---,---,---,---,3:37:40 PM

