Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
00:00:00:0000,Select Drug,Rocuronium,-,-,-,-,-,18:20:13:2841,
18:20:13:2841,Move Syringe,no,0.00,0,0,0,0,18:20:16:6997,
18:20:16:6997,Fill Syringe,Rocuronium,29,1,0,0,0,18:20:19:7120,
18:20:19:7120,Apply Lable,Rocuronium,29,1,1,0,0,18:20:21:1529,
18:20:21:1529,AdministerSyringe,Rocuronium,29,1,1,1,0,18:20:23:7769,
18:20:23:7769,Trash Syringe,Rocuronium,29,1,1,1,1,18:20:26:1727,
18:20:26:1732,Select Drug,Sugammadex (BRIDION) injection,-,-,-,-,-,18:20:32:0172,
18:20:32:0172,Move Syringe,no,0.00,0,0,0,0,18:20:38:8509,
18:20:38:8509,Fill Syringe,Sugammadex (BRIDION) injection,35,1,0,0,0,18:20:46:4165,
18:20:46:4165,Apply Lable,Sugammadex (BRIDION) injection,35,1,1,0,0,18:20:51:6795,
18:20:51:6795,Trash Syringe,Sugammadex (BRIDION) injection,35,1,1,0,1,18:21:07:8850,
18:21:07:8850,Select Drug,Succinylcholine,-,-,-,-,-,18:21:09:6675,
18:21:09:6675,Move Syringe,no,0.00,0,0,0,0,18:21:12:0957,
18:21:12:0957,Remove Drug,Succinylcholine,-,-,-,-,-,18:21:14:5580,
18:21:12:0957,Trash Syringe,no,0.00,0,0,0,1,18:21:23:1078,
18:21:23:1078,Select Drug,Clycopyrrolate injection,-,-,-,-,-,18:21:31:7923,
18:21:31:7923,Move Syringe,no,0.00,0,0,0,0,18:21:34:1660,
18:21:34:1660,Trash Syringe,no,0.00,0,0,0,1,18:21:39:4629,
18:21:39:4629,Move Syringe,no,0.00,0,0,0,0,18:21:42:6728,
18:21:42:6728,Fill Syringe,Clycopyrrolate injection,19,1,0,0,0,18:21:46:5497,
18:21:46:5497,Apply Lable,Clycopyrrolate injection,19,1,1,0,0,18:21:50:0945,
18:21:50:0945,AdministerSyringe,Clycopyrrolate injection,19,1,1,1,0,18:22:13:5280,
18:22:13:5280,Trash Syringe,Clycopyrrolate injection,19,1,1,1,1,18:22:22:6688,
18:22:22:6688,Select Drug,Clycopyrrolate injection,-,-,-,-,-,18:37:09:4544,
18:37:09:4544,Move Syringe,no,0.00,0,0,0,0,18:37:11:8582,
18:37:11:8582,Fill Syringe,Clycopyrrolate injection,21,1,0,0,0,18:37:15:0732,
18:37:15:0732,Apply Lable,Clycopyrrolate injection,21,1,1,0,0,18:37:16:4479,
18:37:16:4479,AdministerSyringe,Clycopyrrolate injection,21,1,1,1,0,18:37:19:1818,
18:37:19:1818,Trash Syringe,Clycopyrrolate injection,21,1,1,1,1,18:37:21:1525,

