Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time
6:06:58 PM,New Task,midazolam,, ---,---,---,---,6:06:57 PM
6:06:58 PM,Select Drug,propofol,-,-,-,-,-,6:07:09 PM
6:07:09 PM,Move Syringe,no,0.00,0,0,0,0,6:07:12 PM
6:07:13 PM,New Task,propofol,, ---,---,---,---,6:07:12 PM
6:07:12 PM,Fill Syringe,propofol,34.47,1,0,0,0,6:07:14 PM
6:07:14 PM,AdministerSyringe,propofol,34.47,1,0,1,0,6:07:18 PM
6:07:18 PM,Trash Syringe,propofol,34.47,1,0,1,1,6:07:20 PM
6:07:20 PM,Select Drug,fentaNYL,-,-,-,-,-,6:07:26 PM
6:07:26 PM,Move Syringe,no,0.00,0,0,0,0,6:07:28 PM
6:07:30 PM,New Task,fentaNYL,, ---,---,---,---,6:07:27 PM
6:07:28 PM,Remove Drug,fentaNYL,-,-,-,-,-,6:07:31 PM
6:07:28 PM,Trash Syringe,no,0.00,0,0,0,1,6:07:39 PM
6:07:39 PM,Select Drug,fentaNYL,-,-,-,-,-,6:07:42 PM
6:07:42 PM,Move Syringe,no,0.00,0,0,0,0,6:07:44 PM
6:07:44 PM,Fill Syringe,fentaNYL,34.47,1,0,0,0,6:07:45 PM
6:07:45 PM,Apply Lable,fentaNYL,34.47,1,1,0,0,6:07:46 PM
6:07:48 PM,New Task,ROCuronium,, ---,---,---,---,6:07:42 PM
6:07:46 PM,AdministerSyringe,fentaNYL,34.47,1,1,1,0,6:07:49 PM
6:07:49 PM,Trash Syringe,fentaNYL,34.47,1,1,1,1,6:07:54 PM
6:08:06 PM,New Task,lidocaine 2%,, ---,---,---,---,6:07:57 PM

